name,source,url
airplane1,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
airplane2,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
amogus,joshua facunla,https://sketchfab.com/3d-models/among-us-crewmate-021671fa658d4d0dbb7bd5102b59c1d0
armadillo,Oded Stein,https://github.com/odedstein/meshes/tree/master/objects/armadillo
bimba,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
blub,Keenan Crane,https://www.cs.cmu.edu/~kmcrane/Projects/ModelRepository/
bone,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
bottle1,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
bottle2,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
bumpysphere,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
bumpytorus,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
bunny,Oded Stein,https://github.com/odedstein/meshes/tree/master/objects/bunny
buste,Marco Livesu,https://github.com/mlivesu/LoopyCuts/tree/master/test_data
B0,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B1,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B2,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B3,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B5,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B7,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B8,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B9,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B10,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B11,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B12,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B13,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B14,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B15,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B16,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B17,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B18,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B19,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B20,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B21,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B23,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B25,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B27,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B28,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B30,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B32,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B33,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B34,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B35,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B36,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B38,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B39,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B40,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B41,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B43,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B46,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B47,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B48,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B49,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B50,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B51,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B57,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B59,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B60,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B61,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B62,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B65,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B66,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B68,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B70,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B71,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B73,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
B75,Franck Ledoux,https://gitlab.com/franck.ledoux/mambo
block,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
cat,Oded Stein,https://github.com/odedstein/meshes/tree/master/objects/cat
chineselion,Marco Livesu,https://github.com/mlivesu/LoopyCuts/tree/master/test_data
dino2,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dtorus,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
fandisk,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
ghost,Thingi10K,https://ten-thousand-models.appspot.com/detail.html?file_id=40746
goathead,Oded Stein,https://github.com/odedstein/meshes/tree/master/objects/goathead
homer,Alec Jacobson,https://github.com/alecjacobson/common-3d-test-models
igea,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
koala,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
moai,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
rocker,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
rod,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
screw,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
sphinx,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
spot,Oded Stein,https://github.com/odedstein/meshes/tree/master/objects/spot
teapot,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
torusstep,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
traystep,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
twins,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
venus,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
7connected,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
8connected,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
encrusted,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
pipehelix7,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
pipehelix,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
twist,Sébastien Mestrallet,https://github.com/LIHPC-Computational-Geometry/nightmare_of_polycubes
cup1,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
blocktopus,Thingi10K,https://ten-thousand-models.appspot.com/detail.html?file_id=86849
armchair,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
bird,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
blade,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
botijo,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
camel,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
camillehand,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
carter,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
chair,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
chair1,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
cup,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dancer,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dancer2,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dancingchildren,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
david,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
deformedarmadillo,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dente,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dilo,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dino,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dragonstand,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
dragonstand2,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
duck,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
duck2,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
eight,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
elephant,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
elk,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
fertility,Xifeng Gao,https://cims.nyu.edu/gcl/papers/2019-OctreeMeshing.zip
